case_id,initial_bpr,status_C,status_D,status_E,error_C,error_D,error_E,patch_valid_C,patch_valid_D,patch_valid_E,patch_applied_C,patch_applied_D,patch_applied_E,outcome_C,outcome_D,outcome_E,final_bpr_C,final_bpr_D,final_bpr_E,delta_C,delta_D,delta_E,best_condition
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02,0.8333333333333334,ok,patch_application_error,ok,,patch application failed: operation[0] update_transition: old_to and new_to must differ (both 'Locked'),,true,,true,true,,true,behavioural_degradation,,no_improvement,0.6666666666666666,,0.8333333333333334,-0.16666666666666674,,0.0,E
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r03,0.8333333333333334,ok,patch_application_error,patch_application_error,,patch application failed: operation[0] update_transition: old_to and new_to must differ (both 'Locked'),"patch application failed: operation[0] add_transition: duplicate (from, event) ('Locked', 'lock_command'); existing target 'Locked'",true,,,true,,,behavioural_degradation,,,0.6666666666666666,,,-0.16666666666666674,,,C
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01,0.5882352941176471,ok,patch_application_error,ok,,"patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",,true,,true,true,,true,no_improvement,,effective_repair,0.5882352941176471,,0.7058823529411765,0.0,,0.11764705882352944,E
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r02,0.5882352941176471,ok,patch_application_error,ok,,"patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",,true,,true,true,,true,no_improvement,,effective_repair,0.5882352941176471,,0.7058823529411765,0.0,,0.11764705882352944,E
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03,0.5882352941176471,ok,patch_application_error,ok,,"patch application failed: operation[0] update_transition: no transition 'Rented' --return_bike--> 'Available'; no (from, event) match",,true,,true,true,,true,no_improvement,,effective_repair,0.5882352941176471,,0.7058823529411765,0.0,,0.11764705882352944,E
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01,0.25,ok,patch_application_error,patch_application_error,,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'","patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",true,,,true,,,no_improvement,,,0.25,,,0.0,,,C
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02,0.25,ok,patch_application_error,patch_application_error,,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'","patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",true,,,true,,,no_improvement,,,0.25,,,0.0,,,C
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03,0.25,ok,patch_application_error,patch_application_error,,"patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'","patch application failed: operation[1] add_transition: duplicate (from, event) ('DoorOpen', 'close_door_command'); existing target 'Closing'",true,,,true,,,no_improvement,,,0.25,,,0.0,,,C
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r01,0.875,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('BookingHeld', 'confirm_payment'); existing target 'Confirmed'","patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'NoBooking'","patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'NoBooking'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__hotel_booking__llama3_1_8b__r02,0.875,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('BookingHeld', 'confirm_payment'); existing target 'Confirmed'","patch application failed: operation[1] add_transition: duplicate (from, event) ('SearchResults', 'select_room'); existing target 'BookingHeld'","patch application failed: operation[1] add_transition: duplicate (from, event) ('NoBooking', 'select_room'); existing target 'SearchResults'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r01,0.23529411764705882,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']","patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']","patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r02,0.23529411764705882,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']","patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']","patch application failed: operation[0] add_transition: to state 'Rejected' not in states ['Completed', 'Empty', 'Loaded', 'ReadyForPickup']",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01,0.23529411764705882,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02,0.23529411764705882,patch_application_error,ok,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",,true,,,true,,,no_improvement,,,0.23529411764705882,,,0.0,,D
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03,0.23529411764705882,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Open', 'Vehicle_Detection'); existing target 'Open'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01,0.25,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'","patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'","patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02,0.25,patch_application_error,patch_application_error,patch_application_error,"patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'","patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'","patch application failed: operation[0] add_transition: duplicate (from, event) ('RouteSelected', 'Pay'); existing target 'RouteSelected'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r01,0.25,patch_application_error,patch_application_error,patch_application_error,patch application failed: operation[0] add_transition: self-loop 'Stocked' --ReceiveStock--> 'Stocked' is rejected,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Idle', 'ReceiveStock'); existing target 'Stocked'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Stocked', 'Allocate'); existing target 'Allocated'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02,0.25,patch_application_error,patch_application_error,patch_application_error,patch application failed: operation[0] add_transition: self-loop 'Stocked' --ReceiveStock--> 'Stocked' is rejected,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Idle', 'ReceiveStock'); existing target 'Stocked'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Stocked', 'Allocate'); existing target 'Allocated'",,,,,,,,,,,,,,,,
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r03,0.25,patch_application_error,patch_application_error,patch_application_error,patch application failed: operation[0] add_transition: self-loop 'Stocked' --ReceiveStock--> 'Stocked' is rejected,"patch application failed: operation[0] add_transition: duplicate (from, event) ('Stocked', 'Allocate'); existing target 'Allocated'","patch application failed: operation[0] add_transition: duplicate (from, event) ('Stocked', 'Allocate'); existing target 'Allocated'",,,,,,,,,,,,,,,,
